"Laikotarpis","Rodiklis","Administracinė teritorija","Vandens naudojimo paskirtis","Matavimo vienetai","Reikšmė"
"2017","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","81.6"
"2018","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","53.3"
"2019","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","122.6"
"2020","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens žemės ūkio reikmėms","tūkst. m³","131.8"
"2016","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","2928.5"
"2017","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","2914.3"
"2018","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","3006.5"
"2019","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","3098.5"
"2020","Vandens sunaudojimas","Klaipėdos apskritis","Sunaudota vandens žuvininkystės reikmėms","tūkst. m³","2497.9"
"2016","Vandens sunaudojimas","Panevėžio apskritis","Paimta vandens iš viso","tūkst. m³","15804.5"
"2017","Vandens sunaudojimas","Panevėžio apskritis","Paimta vandens iš viso","tūkst. m³","15843.2"
"2018","Vandens sunaudojimas","Panevėžio apskritis","Paimta vandens iš viso","tūkst. m³","16497.7"
"2019","Vandens sunaudojimas","Panevėžio apskritis","Paimta vandens iš viso","tūkst. m³","16389.3"
"2020","Vandens sunaudojimas","Panevėžio apskritis","Paimta vandens iš viso","tūkst. m³","15788.4"
"2016","Vandens sunaudojimas","Panevėžio apskritis","Paimta požeminio vandens","tūkst. m³","13672.5"
"2017","Vandens sunaudojimas","Panevėžio apskritis","Paimta požeminio vandens","tūkst. m³","13733.7"
"2018","Vandens sunaudojimas","Panevėžio apskritis","Paimta požeminio vandens","tūkst. m³","14369.7"
"2019","Vandens sunaudojimas","Panevėžio apskritis","Paimta požeminio vandens","tūkst. m³","14265.3"
"2020","Vandens sunaudojimas","Panevėžio apskritis","Paimta požeminio vandens","tūkst. m³","13668.1"
"2016","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens iš viso","tūkst. m³","13377.6"
"2017","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens iš viso","tūkst. m³","13736.2"
"2018","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens iš viso","tūkst. m³","14353.8"
"2019","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens iš viso","tūkst. m³","14411.5"
"2020","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota vandens iš viso","tūkst. m³","14231.0"
"2016","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota požeminio vandens","tūkst. m³","11248.4"
"2017","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota požeminio vandens","tūkst. m³","11629.3"
"2018","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota požeminio vandens","tūkst. m³","12227.9"
"2019","Vandens sunaudojimas","Panevėžio apskritis","Sunaudota požeminio vandens","tūkst. m³","12290.0"
