,Vandens naudojimo paskirtis,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
202,Sunaudota vandens iš viso,Klaipėdos m. sav.,tūkst. m³,2017,67494.44900000001,149860.0,450.38335112771927
203,Sunaudota vandens ūkio ir buities reikmėms,Klaipėdos m. sav.,tūkst. m³,2017,63946.037000000004,149860.0,426.7051714933939
204,Sunaudota vandens energetikos reikmėms,Klaipėdos m. sav.,tūkst. m³,2017,212.108,149860.0,1.4153743493927664
205,Sunaudota vandens kitoms reikmėms,Klaipėdos m. sav.,tūkst. m³,2017,,149860.0,
206,Sunaudota vandens pramonės reikmėms,Klaipėdos m. sav.,tūkst. m³,2017,3336.304,149860.0,22.262805284932604
207,Sunaudota vandens žemės ūkio reikmėms,Klaipėdos m. sav.,tūkst. m³,2017,,149860.0,
208,Sunaudota vandens žuvininkystės reikmėms,Klaipėdos m. sav.,tūkst. m³,2017,,149860.0,
209,Sunaudota požeminio vandens,Klaipėdos m. sav.,tūkst. m³,2017,9050.758,149860.0,60.39475510476445
210,Paimta vandens iš viso,Klaipėdos m. sav.,tūkst. m³,2018,66896.04,148103.0,451.6859212845114
211,Paimta požeminio vandens,Klaipėdos m. sav.,tūkst. m³,2018,10518.05,148103.0,71.01848038189638
212,Sunaudota vandens iš viso,Klaipėdos m. sav.,tūkst. m³,2018,66038.23,148103.0,445.893938677812
213,Sunaudota vandens ūkio ir buities reikmėms,Klaipėdos m. sav.,tūkst. m³,2018,62536.32,148103.0,422.2488403340918
214,Sunaudota vandens energetikos reikmėms,Klaipėdos m. sav.,tūkst. m³,2018,216.838,148103.0,1.464102685293343
215,Sunaudota vandens kitoms reikmėms,Klaipėdos m. sav.,tūkst. m³,2018,,148103.0,
216,Sunaudota vandens pramonės reikmėms,Klaipėdos m. sav.,tūkst. m³,2018,3285.07,148103.0,22.180982154311526
217,Sunaudota vandens žemės ūkio reikmėms,Klaipėdos m. sav.,tūkst. m³,2018,,148103.0,
218,Sunaudota vandens žuvininkystės reikmėms,Klaipėdos m. sav.,tūkst. m³,2018,,148103.0,
219,Sunaudota požeminio vandens,Klaipėdos m. sav.,tūkst. m³,2018,9660.231,148103.0,65.22643700667778
220,Paimta vandens iš viso,Klaipėdos m. sav.,tūkst. m³,2019,74502.31,148511.0,501.66189709853137
221,Paimta požeminio vandens,Klaipėdos m. sav.,tūkst. m³,2019,10528.678,148511.0,70.89493707536815
222,Sunaudota vandens iš viso,Klaipėdos m. sav.,tūkst. m³,2019,73207.984,148511.0,492.94654268034014
223,Sunaudota vandens ūkio ir buities reikmėms,Klaipėdos m. sav.,tūkst. m³,2019,69777.61899999999,148511.0,469.8481526620923
224,Sunaudota vandens energetikos reikmėms,Klaipėdos m. sav.,tūkst. m³,2019,266.762,148511.0,1.7962440492623442
225,Sunaudota vandens kitoms reikmėms,Klaipėdos m. sav.,tūkst. m³,2019,,148511.0,
226,Sunaudota vandens pramonės reikmėms,Klaipėdos m. sav.,tūkst. m³,2019,3163.603,148511.0,21.302145968985464
227,Sunaudota vandens žemės ūkio reikmėms,Klaipėdos m. sav.,tūkst. m³,2019,,148511.0,
228,Sunaudota vandens žuvininkystės reikmėms,Klaipėdos m. sav.,tūkst. m³,2019,,148511.0,
