,Reiso tipas,Administracinė teritorija,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
174,Vietinio (priemiestinio) susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2018,1807.9,148103.0,12.207045096993308
175,Iš viso pagal reiso tipą,Klaipėdos m. sav.,tūkst. km,2018,17467.9,148103.0,117.9442685158302
176,Tolimojo susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2019,2878.1,148511.0,19.379709247126474
177,Specialus reisas,Klaipėdos m. sav.,tūkst. km,2019,1808.0,148511.0,12.174182383796486
178,Tarptautinio susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2019,411.9,148511.0,2.7735319269279715
179,Reguliarus reisas,Klaipėdos m. sav.,tūkst. km,2019,14375.3,148511.0,96.79619691470664
180,Vietinio (miesto) susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2019,9410.000000000002,148511.0,63.36230986256912
181,Užsakomasis reisas,Klaipėdos m. sav.,tūkst. km,2019,3615.7,148511.0,24.34634471520628
182,Vietinio (priemiestinio) susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2019,1675.3,148511.0,11.280645878083105
183,Iš viso pagal reiso tipą,Klaipėdos m. sav.,tūkst. km,2019,19799.0,148511.0,133.31672401370943
184,Tolimojo susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2020,2201.2,149433.0,14.730347379762165
185,Specialus reisas,Klaipėdos m. sav.,tūkst. km,2020,3846.4,149433.0,25.73996372956442
186,Tarptautinio susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2020,147.3,149433.0,0.9857260444480136
187,Reguliarus reisas,Klaipėdos m. sav.,tūkst. km,2020,12627.8,149433.0,84.50476133116513
188,Vietinio (miesto) susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2020,8331.5,149433.0,55.75408376998387
189,Užsakomasis reisas,Klaipėdos m. sav.,tūkst. km,2020,1008.8,149433.0,6.750851552200651
190,Vietinio (priemiestinio) susisiekimo maršrutas,Klaipėdos m. sav.,tūkst. km,2020,1947.8,149433.0,13.034604136971083
191,Iš viso pagal reiso tipą,Klaipėdos m. sav.,tūkst. km,2020,17483.000000000004,149433.0,116.99557661293024
192,Tolimojo susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2015,12116.2,543295.0,22.30132800780423
193,Specialus reisas,Vilniaus m. sav.,tūkst. km,2015,723.2,543295.0,1.3311368593489725
194,Tarptautinio susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2015,4674.900000000001,543295.0,8.604717510744623
195,Reguliarus reisas,Vilniaus m. sav.,tūkst. km,2015,46813.80000000001,543295.0,86.16644732603835
196,Vietinio (miesto) susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2015,28725.2,543295.0,52.872196504661375
197,Užsakomasis reisas,Vilniaus m. sav.,tūkst. km,2015,14036.8,543295.0,25.836424042187026
198,Vietinio (priemiestinio) susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2015,1297.5,543295.0,2.388205302828114
199,Iš viso pagal reiso tipą,Vilniaus m. sav.,tūkst. km,2015,61573.8,543295.0,113.33400822757434
200,Tolimojo susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2016,12228.800000000001,544513.0,22.458233320416593
201,Specialus reisas,Vilniaus m. sav.,tūkst. km,2016,832.2,544513.0,1.5283381663982312
202,Tarptautinio susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2016,5627.400000000001,544513.0,10.334739482803903
203,Reguliarus reisas,Vilniaus m. sav.,tūkst. km,2016,49042.4,544513.0,90.06653651978924
204,Vietinio (miesto) susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2016,29836.4,544513.0,54.794651367368644
205,Užsakomasis reisas,Vilniaus m. sav.,tūkst. km,2016,14570.5,544513.0,26.75877343607958
206,Vietinio (priemiestinio) susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2016,1349.8,544513.0,2.478912349200111
207,Iš viso pagal reiso tipą,Vilniaus m. sav.,tūkst. km,2016,64445.100000000006,544513.0,118.35364812226706
208,Tolimojo susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2017,12623.000000000002,546504.0,23.097726640610137
209,Specialus reisas,Vilniaus m. sav.,tūkst. km,2017,475.8,546504.0,0.8706249176584252
210,Tarptautinio susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2017,6840.999999999999,546504.0,12.517749183903502
211,Reguliarus reisas,Vilniaus m. sav.,tūkst. km,2017,51688.5,546504.0,94.5802775460015
212,Vietinio (miesto) susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2017,29998.8,546504.0,54.89218743138202
213,Užsakomasis reisas,Vilniaus m. sav.,tūkst. km,2017,20362.100000000002,546504.0,37.25883067644519
214,Vietinio (priemiestinio) susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2017,2225.7,546504.0,4.072614290105836
215,Iš viso pagal reiso tipą,Vilniaus m. sav.,tūkst. km,2017,72526.4,546504.0,132.7097331401051
216,Tolimojo susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2018,11952.400000000003,549833.0,21.73823688283534
217,Specialus reisas,Vilniaus m. sav.,tūkst. km,2018,247.7,549833.0,0.4505004246744011
218,Tarptautinio susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2018,6985.200000000001,549833.0,12.704221099861233
219,Reguliarus reisas,Vilniaus m. sav.,tūkst. km,2018,51832.0,549833.0,94.26862338200871
220,Vietinio (miesto) susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2018,31705.100000000002,549833.0,57.663144991297365
221,Užsakomasis reisas,Vilniaus m. sav.,tūkst. km,2018,23495.100000000006,549833.0,42.7313384245762
222,Vietinio (priemiestinio) susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2018,1189.3,549833.0,2.163020408014797
223,Iš viso pagal reiso tipą,Vilniaus m. sav.,tūkst. km,2018,75574.8,549833.0,137.4504622312593
224,Tolimojo susisiekimo maršrutas,Vilniaus m. sav.,tūkst. km,2019,11728.900000000001,556767.0,21.06608329875873
225,Specialus reisas,Vilniaus m. sav.,tūkst. km,2019,227.2,556767.0,0.40807016220429726
