,Administracinė teritorija,Teršalai,Matavimo vienetai,Laikotarpis,Reikšmė_x,Reikšmė_y,per_thousand
149,Klaipėdos m. sav.,"Sieros dioksidas, tonos",tonos,2015,29.1,155096.0,0.1876257285810079
150,Klaipėdos m. sav.,Dujinės ir skystosios medžiagos,tonos,2015,2694.4,155096.0,17.372466085521225
151,Klaipėdos m. sav.,Kietosios medžiagos,tonos,2015,178.6,155096.0,1.1515448496415124
152,Klaipėdos m. sav.,Visi teršalai,tonos,2016,2959.7,153030.0,19.340652159707247
153,Klaipėdos m. sav.,"Azoto oksidai, tonos",tonos,2016,633.0,153030.0,4.136443834542247
154,Klaipėdos m. sav.,Fluoras ir kiti teršalai,tonos,2016,127.4,153030.0,0.8325165000326734
155,Klaipėdos m. sav.,"Anglies monoksidas, tonos",tonos,2016,1456.2,153030.0,9.515781219368751
156,Klaipėdos m. sav.,Lakūs organiniai junginiai,tonos,2016,473.4,153030.0,3.093511076259557
157,Klaipėdos m. sav.,"Sieros dioksidas, tonos",tonos,2016,110.2,153030.0,0.7201202378618572
158,Klaipėdos m. sav.,Dujinės ir skystosios medžiagos,tonos,2016,2800.2,153030.0,18.298372868065087
159,Klaipėdos m. sav.,Kietosios medžiagos,tonos,2016,159.5,153030.0,1.0422792916421617
160,Klaipėdos m. sav.,Visi teršalai,tonos,2017,3362.7,149860.0,22.438943013479246
161,Klaipėdos m. sav.,"Azoto oksidai, tonos",tonos,2017,731.3,149860.0,4.879887895369011
162,Klaipėdos m. sav.,Fluoras ir kiti teršalai,tonos,2017,122.4,149860.0,0.8167623114907246
163,Klaipėdos m. sav.,"Anglies monoksidas, tonos",tonos,2017,1795.5,149860.0,11.981182436941145
164,Klaipėdos m. sav.,Lakūs organiniai junginiai,tonos,2017,436.6,149860.0,2.9133858267716537
165,Klaipėdos m. sav.,"Sieros dioksidas, tonos",tonos,2017,94.5,149860.0,0.6305885493126918
166,Klaipėdos m. sav.,Dujinės ir skystosios medžiagos,tonos,2017,3180.3,149860.0,21.221807019885226
167,Klaipėdos m. sav.,Kietosios medžiagos,tonos,2017,182.4,149860.0,1.2171359935940211
168,Klaipėdos m. sav.,Visi teršalai,tonos,2018,3401.93,148103.0,22.97002761591595
169,Klaipėdos m. sav.,"Azoto oksidai, tonos",tonos,2018,700.61,148103.0,4.730559137897274
170,Klaipėdos m. sav.,Fluoras ir kiti teršalai,tonos,2018,132.41,148103.0,0.8940399586774069
171,Klaipėdos m. sav.,"Anglies monoksidas, tonos",tonos,2018,1901.68,148103.0,12.840253067122207
172,Klaipėdos m. sav.,Lakūs organiniai junginiai,tonos,2018,389.69,148103.0,2.6312093610527807
173,Klaipėdos m. sav.,"Sieros dioksidas, tonos",tonos,2018,75.66,148103.0,0.5108606847936908
174,Klaipėdos m. sav.,Dujinės ir skystosios medžiagos,tonos,2018,3200.05,148103.0,21.60692220954336
175,Klaipėdos m. sav.,Kietosios medžiagos,tonos,2018,201.88,148103.0,1.3631054063725918
176,Klaipėdos m. sav.,Visi teršalai,tonos,2019,2905.6,148511.0,19.564880715906565
177,Klaipėdos m. sav.,"Azoto oksidai, tonos",tonos,2019,662.59,148511.0,4.461555036327275
178,Klaipėdos m. sav.,Fluoras ir kiti teršalai,tonos,2019,131.28,148511.0,0.8839749244163733
179,Klaipėdos m. sav.,"Anglies monoksidas, tonos",tonos,2019,1539.55,148511.0,10.366572173105023
180,Klaipėdos m. sav.,Lakūs organiniai junginiai,tonos,2019,327.67,148511.0,2.206368551824444
181,Klaipėdos m. sav.,"Sieros dioksidas, tonos",tonos,2019,37.02,148511.0,0.24927446451777982
182,Klaipėdos m. sav.,Dujinės ir skystosios medžiagos,tonos,2019,2698.11,148511.0,18.167745150190896
183,Klaipėdos m. sav.,Kietosios medžiagos,tonos,2019,207.49,148511.0,1.397135565715671
184,Klaipėdos m. sav.,Visi teršalai,tonos,2020,2865.45,149433.0,19.175483326975968
185,Klaipėdos m. sav.,"Azoto oksidai, tonos",tonos,2020,717.29,149433.0,4.800077626762495
186,Klaipėdos m. sav.,Fluoras ir kiti teršalai,tonos,2020,165.91,149433.0,1.110263462555125
187,Klaipėdos m. sav.,"Anglies monoksidas, tonos",tonos,2020,1424.59,149433.0,9.533302550306827
188,Klaipėdos m. sav.,Lakūs organiniai junginiai,tonos,2020,304.66,149433.0,2.038773229474079
189,Klaipėdos m. sav.,"Sieros dioksidas, tonos",tonos,2020,39.03,149433.0,0.2611872879484451
190,Klaipėdos m. sav.,Dujinės ir skystosios medžiagos,tonos,2020,2651.48,149433.0,17.743604157046974
191,Klaipėdos m. sav.,Kietosios medžiagos,tonos,2020,213.97,149433.0,1.4318791699289983
192,Vilniaus m. sav.,Visi teršalai,tonos,2015,3136.4,543295.0,5.772922629510671
193,Vilniaus m. sav.,"Azoto oksidai, tonos",tonos,2015,695.0,543295.0,1.2792313568135176
194,Vilniaus m. sav.,Fluoras ir kiti teršalai,tonos,2015,171.7,543295.0,0.3160345668559438
195,Vilniaus m. sav.,"Anglies monoksidas, tonos",tonos,2015,1778.4,543295.0,3.2733597769167764
196,Vilniaus m. sav.,Lakūs organiniai junginiai,tonos,2015,38.8,543295.0,0.07141608150268271
