"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas ir kaimas","asmenys","97377"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas","asmenys","4581"
"2018","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Kaimas","asmenys","92796"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas ir kaimas","asmenys","98885"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas","asmenys","4504"
"2019","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Kaimas","asmenys","94381"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas ir kaimas","asmenys","100879"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas","asmenys","4471"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Kaimas","asmenys","96408"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas ir kaimas","asmenys","102125"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas","asmenys","4419"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Kaimas","asmenys","97706"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2097338"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas","asmenys","1317229"
"2015","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Kaimas","asmenys","780109"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","2065321"
"2016","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas","asmenys","1294022"
